"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.005753","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","66","54376  >  https(443) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"4","0.006040","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","66","54377  >  https(443) [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM=1"
"5","0.008529","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","66","https(443)  >  54376 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1250 SACK_PERM=1 WS=1024"
"6","0.008634","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"7","0.008968","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","66","https(443)  >  54377 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1250 SACK_PERM=1 WS=1024"
"8","0.009029","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54377  >  https(443) [ACK] Seq=1 Ack=1 Win=131072 Len=0"
"9","0.009156","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","571","Client Hello"
"10","0.009790","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TLSv1.3","571","Client Hello"
"11","0.011627","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54376 [ACK] Seq=1 Ack=518 Win=30720 Len=0"
"12","0.012348","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","54","https(443)  >  54377 [ACK] Seq=1 Ack=518 Win=30720 Len=0"
"13","0.014468","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1304","Server Hello, Change Cipher Spec"
"14","0.014469","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54376 [ACK] Seq=1251 Ack=518 Win=30720 Len=1250 [TCP segment of a reassembled PDU]"
"15","0.014471","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","274","Application Data"
"16","0.014509","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54376  >  https(443) [ACK] Seq=518 Ack=2721 Win=131072 Len=0"
"17","0.019194","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","1304","Server Hello, Change Cipher Spec"
"18","0.019199","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TCP","1304","https(443)  >  54377 [ACK] Seq=1251 Ack=518 Win=30720 Len=1250 [TCP segment of a reassembled PDU]"
"19","0.019205","www.wireshark.org","eduroam-int-dhcp-97-88-25.ucl.ac.uk","TLSv1.3","275","Application Data"
"20","0.019387","eduroam-int-dhcp-97-88-25.ucl.ac.uk","www.wireshark.org","TCP","54","54377  >  https(443) [ACK] Seq=518 Ack=2722 Win=131072 Len=0"
